sedaadmin,enrollment_dist,perc_black,log_median_income,poverty_rate,unemployment_rate,urban,town,suburb,rural
1807320,5631.6,0.20421362599999998,10.2982424,0.310544306,0.1010831096,1.0,0.0,0.0,0.0
1807350,4029.4,0.07563721100000001,11.174203200000001,0.06286812280000001,0.0628668242,0.0,0.0,1.0,0.0
1807380,1114.8,0.002505185044,10.8160468,0.12270086999999999,0.05903721520000001,0.0,0.0,0.0,1.0
1807410,11463.2,0.0853425368,10.9251362,0.1110330246,0.0562859684,0.0,0.0,1.0,0.0
1807440,3295.4,0.0144978422,10.5322872,0.192571624,0.0919385174,0.0,1.0,0.0,0.0
1807470,919.4,0.0340261142,10.897132000000001,0.15935090400000002,0.0651870986,0.0,1.0,0.0,0.0
1807560,2970.8,0.00383742018,10.953633,0.11631534299999999,0.06820971379999999,0.0,0.0,0.0,1.0
1807620,1837.0,0.00479420756,10.9857388,0.08062106220000001,0.06296978,0.0,0.0,0.0,1.0
1807650,10337.8,0.0399612776,11.170895999999999,0.0638144532,0.0338677784,0.0,0.0,1.0,0.0
1807680,1797.8,0.0201713744,10.7194772,0.133088978,0.0512928466,0.0,1.0,0.0,0.0
1807710,1186.0,0.00421623034,10.728082,0.1067870152,0.0309333804,0.0,0.0,0.0,1.0
1807770,2047.8,0.0363327472,10.701854,0.12128391600000002,0.0460163086,0.0,0.0,0.0,1.0
1807800,1053.6,0.004027838319999999,10.6897172,0.150155592,0.0791310622,0.0,0.0,0.0,1.0
1807830,1327.4,0.00618024736,10.68736,0.144040326,0.0585188822,0.0,0.0,0.0,1.0
1807860,4928.2,0.0032183194,10.7386842,0.130790266,0.0547994622,0.0,0.0,0.0,1.0
1807890,944.6,0.00804474676,10.8735692,0.0777452194,0.044129158599999996,0.0,0.0,0.0,1.0
1807900,1901.8,0.0037546980799999996,10.862119,0.0832988568,0.042506713200000004,0.0,0.0,0.0,1.0
1807920,1342.2,0.0012026157459999998,10.8244624,0.1052420498,0.0830688422,0.0,0.0,0.0,1.0
1807950,1445.0,0.00345742894,10.928712200000001,0.06745972559999999,0.0462022304,0.0,0.0,0.0,1.0
1807980,1446.8,0.0048167376800000005,10.933154400000001,0.130493378,0.0663497172,0.0,0.0,0.0,1.0
1808010,2040.2,0.00322777338,10.9722534,0.07473402300000001,0.037630128400000004,0.0,0.0,0.0,1.0
1808040,797.4,0.0007730401400000001,10.9095402,0.0857419874,0.06256812219999999,0.0,0.0,0.0,1.0
1808070,744.0,0.00322281372,10.769961200000001,0.14217218,0.0760756426,0.0,0.0,0.0,1.0
1808100,1896.2,0.01013660078,11.070228400000001,0.061192089399999997,0.0428907176,0.0,0.0,0.0,1.0
1808120,925.6,0.00020876827999999998,10.8846788,0.030016538599999996,0.027655039599999997,0.0,0.0,0.0,1.0
1808130,861.6,0.00581808054,10.6805086,0.14875407400000001,0.069155482,0.0,0.0,0.0,1.0
1808160,890.4,0.0035771304400000004,10.7142582,0.13834534599999998,0.059869149600000005,0.0,0.0,0.0,1.0
1808190,1299.0,0.0084052408,10.8174318,0.124152588,0.0453027562,0.0,0.0,0.0,1.0
1808220,2452.6,0.007404519900000001,10.8835172,0.0960240702,0.036196597,0.0,0.0,0.0,1.0
1808250,7360.8,0.020533298,11.270062999999999,0.0386047158,0.030457019800000002,0.0,0.0,0.0,1.0
1808280,1405.6,0.00227861232,10.859855,0.128373556,0.051867395799999993,0.0,0.0,0.0,1.0
1808310,1499.0,0.015308880799999999,11.0126344,0.0993180478,0.0614374368,0.0,0.0,0.0,1.0
1808320,108.6,0.33775362200000003,,,,0.0,0.0,1.0,0.0
1808340,1716.6,0.01106326746,10.880821800000001,0.10116862900000001,0.057877435399999996,0.0,0.0,0.0,1.0
1808460,561.6,0.00323203254,10.8216182,0.10234733199999999,0.0687702754,0.0,0.0,0.0,1.0
1808490,837.4,0.00238305856,10.7861796,0.140526192,0.06529323620000001,0.0,0.0,0.0,1.0
1808640,1445.8,0.00585034546,10.546801400000001,0.171570172,0.048820115,0.0,1.0,0.0,0.0
1808760,11010.4,0.0581907096,11.00404,0.07695280460000001,0.0410814788,0.0,0.0,1.0,0.0
1808820,15981.8,0.0674159572,10.7178888,0.151380092,0.0515314834,1.0,0.0,0.0,0.0
1808850,2123.8,0.028701879800000003,10.488239799999999,0.198955406,0.1030109846,0.0,1.0,0.0,0.0
1808900,1848.8,0.00464728158,10.733022199999999,0.11037021600000001,0.046107386,0.0,0.0,0.0,1.0
1808910,11260.8,0.5930147179999999,10.789996400000001,0.132188148,0.0748899542,1.0,0.0,0.0,0.0
1808940,932.2,0.00837954962,10.878289800000001,0.1080056724,0.053298914399999994,0.0,0.0,0.0,1.0
1808970,5488.8,0.029651583999999998,10.9858496,0.0786276698,0.0545992144,0.0,0.0,1.0,0.0
1809000,2472.8,0.00791626426,11.1772046,0.0694270898,0.0377527766,0.0,0.0,0.0,1.0
1809060,3651.2,0.008910711339999999,10.7069774,0.153537482,0.0737748822,0.0,1.0,0.0,0.0
1809120,1949.6,0.0060414574,10.8042356,0.1116971382,0.0614988074,0.0,1.0,0.0,0.0
1809130,150.840002,0.1074544086,,,,0.0,0.0,1.0,0.0
1809150,7672.6,0.11617132799999999,10.8879836,0.15238545,0.067692411,0.0,0.0,1.0,0.0
